Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2015,Chinook salmon,Fall,15-Apr-15,NFL 5,,,blank,4,Male,94,UM,,10059-1,1,61,F,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,23-Sep-15,NFL 2,10a,10b,blank,,Female,71,AD,,30649-10,1,42,F,,,,,,30-Sep-15,10a,10b,NFL 3,,,,,,,,,,,
2015,Chinook salmon,Fall,23-Sep-15,NFL 2,7a,7b,blank,,Female,93,AD,,30649-7,1,51,F,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,23-Sep-15,NFL 2,8a,8b,blank,,Female,72,AD,,30649-8,1,42,F,,,,,,30-Sep-15,8a,8b,NFL 2,,,,,,,,,,,
2015,Chinook salmon,Spring,23-Sep-15,NFL 2,9a,9b,blank,,Female,69,AD,,30649-9,1,42,F,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Fall,23-Sep-15,NFL 3,5a,5b,blank,,Male,95,AD,,30649-5,1,41,F,,,,,,8-Oct-15,5a,5b,NFL 4,,,,,,,,,,,
2015,Chinook salmon,Fall,23-Sep-15,NFL 3,6a,6b,blank,,Male,96,AD,,30649-6,1,51,F,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,23-Sep-15,NFL 4,1a,1b,blank,,Male,51,AD,,30649-1,1,32,F,,,,,,30-Sep-15,1a,1b,NFL 4,,,,,,,,,,,
2015,Chinook salmon,Fall,23-Sep-15,NFL 4,2a,2b,blank,,Male,95,AD,,30649-2,1,41,D-,,,,,,8-Oct-15,2a,2b,NFL 4,,,,,,,,,,,
2015,Chinook salmon,Fall,23-Sep-15,NFL 4,3a,3b,blank,,Male,78,UM,,30649-3,1,31,F,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Fall,23-Sep-15,NFL 4,4a,4b,blank,,Male,67,UM,,30649-4,1,31,D-,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-1,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Fall,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-1,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-2,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Fall,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-2,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-3,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Fall,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-3,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Fall,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-4,1,,,,,,,,,,,,,,,,,,,,,,
2015,Chinook salmon,Spring,30-Sep-15,NFL 2,,,2,4,,,AD,,30184-4,1,,,,,,,,,,,,,,,,,,,,,,
