Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,DNA_Sample_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2022,Chinook salmon,Spring,12-Sep-22,NFL 2,6502a,6502b,blank,,Female,73,AD,,04928-6502,1,41,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,12-Sep-22,NFL 3,,,2,4,Female,73,AD,,04928-1,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,12-Sep-22,NFL 3,,,2,4,Female,71,AD,,04928-2,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,12-Sep-22,NFL 3,,,2,4,Male,67,AD,,04928-3,1,42,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,12-Sep-22,NFL 3,6501a,6501b,blank,,Male,82,AD,,04928-6501,1,88,D,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,20-Sep-22,NFL 1,,,2,4,Female,66,AD,,04835-3,1,41,D+,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,20-Sep-22,NFL 2,6503a,6503b,blank,,Male,85,UM,,04835-6503,1,41,F,,,,,22LP001,,27-Sep-22,6503a,6503b,NFL 3,,,,,,,,,,,
2022,Chinook salmon,Spring,20-Sep-22,NFL 2,6504a,6504b,blank,,Male,67,AD,,04835-6504,1,41,F,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,20-Sep-22,NFL 2,6505a,6505b,blank,,Male,67,AD,,04835-6505,1,41,F,,,,,,,,,,,,,,,,,,,,,
2022,Chinook salmon,Spring,20-Sep-22,NFL 2,6506a,6506b,blank,,Female,64,AD,,04835-6506,1,41,D,,,,,,,,,,,,,,,,,,,,,
