Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2018,Chinook salmon,Spring,18-Sep-18,NFL 2,,,2,4,Female,69,AD,,50508-1,1,52,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,18-Sep-18,NFL 2,1005a,1005b,0,,Male,64,AD,CWT00036434,50508-1005,1,42,F,,,636777,1,,,,,,2014,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF  27.0168,AD Fin Clp,LEWIS R      27.0168,20150803,20151001,72530
2018,Chinook salmon,Spring,18-Sep-18,NFL 3,1002a,1002b,blank,,Female,83,AD,,50508-1002,1,52,D-,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,18-Sep-18,NFL 3,1003a,1003b,blank,,Female,76,AD,,50508-1003,1,42,F,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,18-Sep-18,NFL 3,1004a,1004b,0,,Male,74,UM,CWT00036433,50508-1004,1,42,F,,,636780,1,,,,,,2014,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF  27.0168,Unmarked,LEWIS R      27.0168,20160201,20160201,58276
2018,Chinook salmon,Spring,18-Sep-18,NFL 4,1001a,1001b,blank,,Male,76,AD,,50508-1001,1,42,F,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 1,,,2,4,Female,62,AD,,50510-4,1,31,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 1,1022a,1022b,blank,,Female,78,AD,,50510-1022,1,42,D,,,,,,3-Oct-18,1022a,1022b,NFL 1,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 1,1023a,1023b,blank,,Female,74,AD,,50510-1023,1,31,D-,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 1,1024a,1024b,blank,,Female,70,AD,,50510-1024,1,42,D-,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 1,1025a,1025b,blank,,Female,64,AD,,50510-1025,1,88,D-,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 1,1026a,1026b,blank,,Female,75,AD,,50510-1026,1,88,F,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Fall,27-Sep-18,NFL 1,1027a,1027b,blank,,Male,87,AD,,50510-1027,1,41,F,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,,,2,4,Female,77,UM,,50510-1,1,42,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,,,2,4,Female,75,AD,,50510-2,1,88,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,,,2,4,Female,72,AD,,50510-3,1,52,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,,,2,4,Male,85,UM,,50510-4,1,42,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1012a,1012b,blank,,Female,83,UM,,50509-1012,1,41,F,,,,,,3-Oct-18,1012a,1012b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1013a,1013b,blank,,Female,67,AD,,50509-1013,1,42,F,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1014a,1014b,blank,,Female,87,AD,,50509-1014,1,41,F,,,,,,3-Oct-18,1014a,1014b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1015a,1015b,blank,,Female,75,AD,,50509-1015,1,42,F,,,,,,3-Oct-18,1015a,1015b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1016a,1016b,blank,,Female,75,AD,,50509-1016,1,31,F,,,,,,3-Oct-18,1016a,1016b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1017a,1017b,blank,,Female,71,AD,,50510-1017,1,42,F,,,,,,3-Oct-18,1017a,1017b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1018a,1018b,blank,,Male,76,AD,,50510-1018,1,31,D-,,,,,,3-Oct-18,1018a,1018b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1019a,1019b,blank,,Male,63,AD,,50510-1019,1,42,D-,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Fall,27-Sep-18,NFL 2,1020a,1020b,blank,,Male,87,AD,,50510-1020,1,41,F,,,,,,3-Oct-18,1020a,1020b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 2,1021a,1021b,blank,,Male,68,AD,,50510-1021,1,42,D,,,,,,3-Oct-18,1021a,1021b,NFL 2,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 3,,,2,4,Male,70,AD,,50509-3,1,31,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 3,,,2,4,Male,92,AD,,50509-4,1,41,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 3,,,2,4,Male,88,AD,,50509-5,1,88,D+,,,,,,,,,,,,,,,,,,,,
2018,Chinook salmon,Spring,27-Sep-18,NFL 3,,,2,4,Male,81,AD,,50509-6,1,41,D+,,,,,,,,,,,,,,,,,,,,
