Return_Yr,SPECIES,Run,TagDate,TagReach,Tag1,Tag2,Sample_Category,CarcassCategory,Sex,FL,Mark,SnoutID,ScaleCard,SampleRate,ScaleAge,CarcassCondition,GillColor,SpawnSuccess,CWT_Code,CWT_Status_Code,Comments,RecapDate,RecapTag1,RecapTag2,RecapReach,Brood_Yr,CWT_Species,CWT_Run,Agency_Name,RearingLocName,ReleaseSiteName,Mark_Short_Desc,StockName,First_Release_Date_Txt,Last_Release_Date_Txt,Tagged_Cnt
2017,Chinook salmon,Spring,22-Sep-17,NFL 2,,,blank,,Female,70,AD,,46049-1,1,42                                                                                                                                                                                                                                                             ,D-,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 2,2815a,2815b,blank,,Male,68,AD,,53767-2815,1,31                                                                                                                                                                                                                                                             ,F,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Spring,27-Sep-17,NFL 2,2816a,2816b,0,,Female,75,AD,CWT00006092,53767-2816,1,42                                                                                                                                                                                                                                                             ,F,,,636479,,,,,,,2012,Chinook,Spring,Washington Department of Fish & Wildlife,GOBAR POND      (27),GOBAR CR     27.0073,AD Fin Clp,KALAMA R     27.0002,20140303,20140305,122906
2017,Chinook salmon,Fall,27-Sep-17,NFL 2,2817a,2817b,blank,,Female,72,AD,,53767-2817,1,31                                                                                                                                                                                                                                                             ,D-,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 2,2818a,2818b,blank,,Male,94,AD,,53767-2818,1,41                                                                                                                                                                                                                                                             ,F,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 2,2819a,2819b,blank,,Male,74,AD,,53767-2819,1,41                                                                                                                                                                                                                                                             ,F,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Spring,27-Sep-17,NFL 3,,,1,,Female,58,AD,CWT00006091,53767-1,1,32                                                                                                                                                                                                                                                             ,D+,,,636777,1,,,,,,2014,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF  27.0168,AD Fin Clp,LEWIS R      27.0168,20150803,20151001,72530
2017,Chinook salmon,Spring,27-Sep-17,NFL 3,,,2,,Female,62,AD,,53767-2,1,42                                                                                                                                                                                                                                                             ,D+,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Spring,27-Sep-17,NFL 3,,,1,,Female,66,AD,CWT00006090,53767-3,1,42                                                                                                                                                                                                                                                             ,D+,,,636615,1,,,,,,2013,Chinook,Spring,Washington Department of Fish & Wildlife,LEWIS RIVER HATCHERY,LEWIS R -NF  27.0168,AD Fin Clp,LEWIS R      27.0168,20150203,20150206,47192
2017,Chinook salmon,Spring,27-Sep-17,NFL 3,,,1,,Female,75,AD,CWT00006089,53767-4,1,52                                                                                                                                                                                                                                                             ,D+,,,636479,1,,,,,,2012,Chinook,Spring,Washington Department of Fish & Wildlife,GOBAR POND      (27),GOBAR CR     27.0073,AD Fin Clp,KALAMA R     27.0002,20140303,20140305,122906
2017,Chinook salmon,Fall,27-Sep-17,NFL 4,,,2,4,Male,66,UM,,53767-5,1,31                                                                                                                                                                                                                                                             ,D+,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 4,,,2,4,,,AD,,53767-6,1,,,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 4,,,2,4,,,AD,,53767-7,1,,,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 4,2810a,2810b,blank,,Male,77,UM,,53767-2810,1,31                                                                                                                                                                                                                                                             ,F,,,,,,,,,,,,,,,,,,,,
2017,Chinook salmon,Fall,27-Sep-17,NFL 4,2811a,2811b,blank,,Male,81,UM,,53767-2811,1,31                                                                                                                                                                                                                                                             ,D-,,,,,,,,,,,,,,,,,,,,
