Return_Yr,SPECIES,TagDate,TagReach,Tag1,Tag2,RecapDate,RecapReach
2024,Chinook salmon,19-Nov-24,NFL 5,4866,4866b,,
2024,Chinook salmon,12-Sep-24,NFL 5,3350a,3350b,,
2024,Chinook salmon,12-Sep-24,NFL 5,3351a,3351b,,
2024,Chinook salmon,12-Sep-24,NFL 5,3352a,3352b,,
2024,Chinook salmon,12-Sep-24,NFL 5,3353a,3353b,19-Sep-24,NFL 5
2024,Chinook salmon,12-Sep-24,NFL 1,3354a,3354b,,
2024,Chinook salmon,19-Sep-24,NFL 5,3355a,3355b,,
2024,Chinook salmon,19-Sep-24,NFL 5,3356a,3356b,,
2024,Chinook salmon,19-Sep-24,NFL 5,3357a,3357b,,
2024,Chinook salmon,19-Sep-24,NFL 5,3358a,3358b,24-Sep-24,NFL 5
2024,Chinook salmon,19-Sep-24,NFL 4,3359a,3359b,24-Sep-24,NFL 4
2024,Chinook salmon,19-Sep-24,NFL 4,3359a,3359b,24-Sep-24,NFL 5
2024,Chinook salmon,19-Sep-24,NFL 2,3360a,3360b,,
2024,Chinook salmon,19-Sep-24,NFL 2,3361a,3361b,,
2024,Chinook salmon,19-Sep-24,NFL 2,3362a,3362b,24-Sep-24,NFL 2
2024,Chinook salmon,19-Sep-24,NFL 2,3363a,3363b,,
2024,Chinook salmon,19-Sep-24,NFL 2,3364a,3364b,24-Sep-24,NFL 2
2024,Chinook salmon,19-Sep-24,NFL 2,3365a,3365b,,
2024,Chinook salmon,19-Sep-24,NFL 1,3366a,3366b,,
2024,Chinook salmon,24-Sep-24,NFL 5,3367a,3367b,,
2024,Chinook salmon,24-Sep-24,NFL 5,3368a,3368b,,
2024,Chinook salmon,24-Sep-24,NFL 4,3369a,3369b,8-Oct-24,NFL 4
2024,Chinook salmon,24-Sep-24,NFL 4,3370a,3370b,1-Oct-24,NFL 5
2024,Chinook salmon,24-Sep-24,NFL 4,3371a,3371b,,
2024,Chinook salmon,24-Sep-24,NFL 3,3372a,3372b,,
2024,Chinook salmon,24-Sep-24,NFL 3,3373a,3373b,2-Oct-24,NFL 3
2024,Chinook salmon,24-Sep-24,NFL 3,3374a,3374b,,
2024,Chinook salmon,24-Sep-24,NFL 3,3375a,3375b,2-Oct-24,NFL 3
2024,Chinook salmon,24-Sep-24,NFL 3,3376a,3376b,,
2024,Chinook salmon,24-Sep-24,NFL 3,3377a,3377b,2-Oct-24,NFL 3
2024,Chinook salmon,24-Sep-24,NFL 3,3378a,3378b,2-Oct-24,NFL 3
2024,Chinook salmon,24-Sep-24,NFL 3,3379a,3379b,2-Oct-24,NFL 3
2024,Chinook salmon,24-Sep-24,NFL 2,3380a,3380b,2-Oct-24,NFL 2
2024,Chinook salmon,24-Sep-24,NFL 2,3381a,3381b,2-Oct-24,NFL 2
2024,Chinook salmon,24-Sep-24,NFL 2,3382a,3382b,10-Oct-24,NFL 2
2024,Chinook salmon,24-Sep-24,NFL 2,3383a,3383b,2-Oct-24,NFL 2
