"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"Nsuper",10523.804,226.900438964769,10075.3746906184,10376.7499909651,10525,10653.2499912001,10979.0998182889,1.00490334429159,330
"deviance",943.688990254388,8.46647880692461,930.124324364423,937.753014610981,942.719517533924,948.964909427101,961.486289131396,1.01104065648628,230
"est_uTot",6265.2902173723,79.0509039876121,6116.99941213038,6212.18105307711,6269.1569391895,6315.6419838414,6415.11363432256,0.998427166492574,500
"lambda[1]",0.382708943273482,0.0115271025635662,0.359438511756673,0.375379536164797,0.38291117818533,0.390554016707778,0.406044684871866,1.00190674444991,500
"lambda[2]",0.382708943273481,0.0115271025635662,0.359438511756672,0.375379536164797,0.382911178185329,0.390554016707778,0.406044684871866,1.00190674444991,500
"lambda[3]",0.382708943273473,0.0115271025635657,0.359438511756656,0.375379536164794,0.382911178185326,0.390554016707771,0.406044684871856,1.00190674444992,500
"lambda[4]",0.382708943273379,0.0115271025635612,0.359438511756489,0.375379536164759,0.38291117818529,0.390554016707697,0.406044684871752,1.00190674445002,500
"lambda[5]",0.382708943272359,0.0115271025635158,0.359438511754731,0.37537953616435,0.382911178184856,0.390554016706848,0.406044684870595,1.00190674445099,500
"lambda[6]",0.38270894326124,0.0115271025630603,0.359438511736247,0.375379536159465,0.382911178179617,0.390554016697181,0.406044684857735,1.00190674446051,500
"lambda[7]",0.382708943139347,0.011527102558415,0.35943851154167,0.375379536100951,0.382911178116363,0.390554016587044,0.406044684714818,1.00190674455291,500
"lambda[8]",0.382708941796312,0.0115271025103214,0.359438509491069,0.375379535397564,0.382911177352326,0.390554015332283,0.406044683126568,1.00190674544366,500
"lambda[9]",0.382708926924081,0.0115271020046093,0.359438487855744,0.375379526913218,0.382911168119938,0.390554001036857,0.406044665476173,1.00190675393642,500
"lambda[10]",0.382708761407479,0.0115270966048744,0.359438259321628,0.37537942422546,0.382911056513333,0.390553838168055,0.406044469325049,1.0019068336198,500
